"END_ID";"STATUS_END_ID";"MES_REF";"MES_INICIO";"MOBILE_SITE";"FLAG_TX_PROFILE_ENG";"FLAG_DISPONIBILIDADE";"FLAG_NGNIS_IN_SRV";"FLAG_HOUSING_CUSTO";"IBGE";"LATITUDE";"LONGITUDE";"RAW_DATA_SOURCE";"TECNOLOGIA";"STATUS (ENG ACESSO)";"TIPO_SITE";"CLASS_SITE";"QTD_LAYER_2G";"QTD_LAYER_3G";"QTD_LAYER_4G";"QTD_LAYER_4G_RS";"QTD_LAYER_5G";"LOW_FREQ_ATUAL";"HIGH_FREQ_ATUAL";"ESTACAO_2G/3G";"ESTAÇÃO_2G";"ESTAÇÃO_3G";"ESTAÇÃO_4G";"ESTAÇÃO_5G";"ESTAÇÃO_mMImo";"ESTAÇÃO_IoT";"END_ID_PROJ_ESP";"CLIENTE_PROJ_ESP";"LOCAL_PROJ_ESP";"LAT_PROJ_ESP";"LONG_PROJ_ESP";"CLASSE_PROJ_ESP";"CLASSE_END_ID";"STATUS_PROJ_ESP";"MEIO_TX_ATUAL";"MEIO_TX_CAPACIDADE";"SOLUCAO_FO";"OBSERVACAO_TX";"ORDEM_COMPLEXA";"OC_REMAN";"FLAG_REMANEJAMENTO";"END_ID_DE";"END_ID_PARA";"STATUS_REMANEJAMENTO";"DETALHE_REMANEJAMENTO";"MEIO_TX_REMAN";"END_ID_REMAN_DE";"DT_INSERT_BD";"PERIMETRO_ENG";"PROJETO_NETFLOW";"CLASSE_SITE_DC_PI";"FLAG_SPAZIO";"MUNICIPIO";"CNL";"UF";"ANF";"REG";"TIPO_DE_CASA";"FLAG_ENERGIA_SGE";"GSBI";"MES_NEW_SITES_2025";"FLAG_PERIMETRO_B2B"
ACABL_0001;ATIVADO;2024-02-01 00:00:00.000;2024-01-01 00:00:00.000;SIM;SIM;SIM;SIM;SIM;"120005";-10.925094;-69.554056;MABE DATABASE/TX_PROFILE_ENG/KPI DISP/HOUSING;"4G";Planilhao;MACRO_SITE;MACRO;0.0;0.0;1.0;0.0;0.0;SIM;NÃO;NÃO;NÃO;NÃO;SIM;NÃO;NÃO;SIM;;;;;;;;;SAT;SAT <1G;;;;;NÃO;;;;;;;2024-03-27 11:21:33.000;;;;;;;;;;;;;;
ACACLD0001;ATIVADO;2024-02-01 00:00:00.000;2024-01-01 00:00:00.000;SIM;SIM;SIM;SIM;SIM;"120001";-10.075556;-67.055611;MABE DATABASE/TX_PROFILE_ENG/KPI DISP/HOUSING;"2G/3G/4G";Planilhao;MACRO_SITE;MACRO;2.0;1.0;1.0;0.0;0.0;SIM;NÃO;SIM;SIM;SIM;SIM;NÃO;NÃO;SIM;;;;;;;;;FO;FO <1G;BUY;;;;NÃO;;;;;;;2024-03-27 11:21:34.000;;;;;;;;;;;;;;
ACBJRI0001;ATIVADO;2024-02-01 00:00:00.000;2024-01-01 00:00:00.000;SIM;SIM;SIM;SIM;SIM;"120013";-9.830055556;-67.95275;MABE DATABASE/TX_PROFILE_ENG/KPI DISP/HOUSING;"3G/4G";Planilhao;MACRO_SITE;MACRO;0.0;1.0;2.0;0.0;0.0;SIM;SIM;SIM;NÃO;SIM;SIM;NÃO;NÃO;SIM;;;;;;;;;MW;MW <1G;;;;;NÃO;;;;;;;2024-03-27 11:21:34.000;;;;;;;;;;;;;;
ACBLI_0001;ATIVADO;2024-02-01 00:00:00.000;2024-01-01 00:00:00.000;SIM;SIM;SIM;SIM;SIM;"120010";-11.0105;-68.74452778;MABE DATABASE/TX_PROFILE_ENG/KPI DISP/HOUSING;"2G/4G";Planilhao;MACRO_SITE;MACRO;2.0;0.0;1.0;0.0;0.0;SIM;NÃO;SIM;SIM;NÃO;SIM;NÃO;NÃO;SIM;;;;;;;;;FO;FO 1G;BUY;;;;NÃO;;;;;;;2024-03-27 11:21:34.000;;;;;;;;;;;;;;
ACCPXB0001;ATIVADO;2024-02-01 00:00:00.000;2024-01-01 00:00:00.000;SIM;SIM;SIM;SIM;NÃO;"120017";-10.57611;-67.673888;MABE DATABASE/TX_PROFILE_ENG/KPI DISP/HOUSING;"3G";Planilhao Ran Sharing;RAN SHARING;MACRO_SITE;0.0;1.0;0.0;0.0;0.0;NÃO;NÃO;SIM;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;RS;RS;;;;;NÃO;;;;;;;2024-03-27 11:21:34.000;;;;;;;;;;;;;;
ACCPXB0002;ATIVADO;2024-02-01 00:00:00.000;2024-01-01 00:00:00.000;SIM;SIM;SIM;SIM;NÃO;"120017";-10.576208;-67.673875;MABE DATABASE/TX_PROFILE_ENG/KPI DISP/HOUSING;"4G";Planilhao Ran Sharing;RAN SHARING;MACRO_SITE;0.0;0.0;1.0;0.0;0.0;SIM;NÃO;NÃO;NÃO;NÃO;SIM;NÃO;NÃO;NÃO;;;;;;;;;RS;RS;;;;;NÃO;;;;;;;2024-03-27 11:21:34.000;;;;;;;;;;;;;;
ACCZU_0002;ATIVADO;2024-02-01 00:00:00.000;2024-01-01 00:00:00.000;SIM;SIM;SIM;SIM;SIM;"120020";-7.605194444;-72.68358333;MABE DATABASE/TX_PROFILE_ENG/KPI DISP/HOUSING;"2G/3G/4G";Planilhao;MACRO_SITE;MACRO;1.0;1.0;2.0;0.0;0.0;SIM;SIM;SIM;SIM;SIM;SIM;NÃO;NÃO;SIM;;;;;;;;;SAT;SAT <1G;;;;;NÃO;;;;;;;2024-03-27 11:21:34.000;;;;;;;;;;;;;;
ACCZU_0007;ATIVADO;2024-02-01 00:00:00.000;2024-01-01 00:00:00.000;SIM;SIM;SIM;NÃO;SIM;"120020";-7.630472;-72.669097;MABE DATABASE/TX_PROFILE_ENG/KPI DISP/HOUSING;"2G/3G/4G";Planilhao;MACRO_SITE;MACRO;2.0;1.0;2.0;0.0;0.0;SIM;SIM;SIM;SIM;SIM;SIM;NÃO;NÃO;SIM;;;;;;;;;SAT;SAT <1G;;;;"953213";SIM-SITE_PARA;ACCZU_0001;ACCZU_0007;DESMOBILIZADO - AG ATIV DO PARA;REALIZAR TS TX SAT 2G;SAT;;2024-03-27 11:21:34.000;;;;;;;;;;;;;;
ACCZU_0023;ATIVADO;2024-02-01 00:00:00.000;2024-01-01 00:00:00.000;SIM;SIM;SIM;SIM;SIM;"120020";-7.625139;-72.669389;MABE DATABASE/TX_PROFILE_ENG/KPI DISP/HOUSING;"3G";Planilhao;MACRO_SITE;MACRO;0.0;1.0;0.0;0.0;0.0;NÃO;NÃO;SIM;NÃO;SIM;NÃO;NÃO;NÃO;NÃO;;;;;;;;;FO;FO <1G;METIS;;;"987925";SIM-SITE_PARA;ACCZU_0003;ACCZU_0023;FINALIZADO;REM FINALIZADO;VTAL;;2024-03-27 11:21:34.000;;;;;;;;;;;;;;
ACFJO_0001;ATIVADO;2024-02-01 00:00:00.000;2024-01-01 00:00:00.000;SIM;SIM;SIM;SIM;SIM;"120030";-8.167278;-70.356278;MABE DATABASE/TX_PROFILE_ENG/KPI DISP/HOUSING;"2G/4G";Planilhao;MACRO_SITE;MACRO;2.0;0.0;2.0;0.0;0.0;SIM;SIM;SIM;SIM;NÃO;SIM;NÃO;NÃO;SIM;;;;;;;;;LL;LL <1G;;;;;NÃO;;;;;;;2024-03-27 11:21:34.000;;;;;;;;;;;;;;
